student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,97.06,14.56,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-7.26,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
2,100.0,15.0,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-6.82,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
3,98.53,14.78,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.22,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,100.0,15.0,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-6.82,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
5,100.0,15.0,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-6.82,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
6,97.06,14.56,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.44,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,100.0,15.0,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-6.82,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
8,100.0,15.0,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-15.0,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,100.0,15.0,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-6.82,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
10,97.06,14.56,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-7.26,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
